ticker,PE_ratio,ROE,DE_ratio,dividend_yield,revenue_growth,profit_margin,current_ratio,market_cap_raw,beta,sector,forward_return
FRT,26.637054,0.10516,138.76,4.32,0.06,0.27586,0.369,9.959498343474241,1.018,Real Estate,0.21985049156829767
FDX,20.845324,0.15886,,1.57,0.139,0.04814,1.274,10.948796825717258,1.336,Industrials,-0.13784148104135202
FIS,147.0625,0.011829999,94.272,3.49,0.057,0.0146200005,0.532,10.390637306396151,0.9,Technology,0.35718860145870374
FITB,14.951841,0.121929996,,3.01,0.115,0.30186,,10.67673526361792,0.977,Financial Services,0.2155313422728306
FSLR,17.450554,0.16864,9.893,,0.797,0.27728,1.91,10.387386308681572,1.626,Technology,-0.22620983384492993
FE,21.736956,0.11192001,193.669,3.81,0.112,0.09312,0.747,10.460603025006284,0.62,Utilities,0.4732965271990894
FISV,9.359621,,,,,,,10.50862151241693,,,-0.1446474211800301
F,,-0.20193,460.639,4.29,-0.048,-0.04369,1.075,10.751211594712819,1.666,Consumer Cyclical,0.30069079736457976
FTNT,35.570248,1.3571601,80.509,,0.148,0.27257,1.172,10.819281843716816,1.047,Technology,-0.19768157627963312
FTV,35.814465,0.06396,49.62,0.43,-0.307,0.13926,0.715,10.257352033142393,1.033,Technology,0.4157622639969573
FOXA,13.646282,0.16823,67.389,0.99,0.02,0.11407,2.784,10.383943901569879,0.511,Communication Services,-0.22962364135752905
FOX,12.450839,0.16823,67.389,1.09,0.02,0.11407,2.784,10.38451568140593,0.511,Communication Services,-0.28670069964856865
BEN,25.055553,0.04464,24.587,4.87,0.034,0.06972,5.564,10.149491054283088,1.488,Financial Services,0.1873716379570181
FCX,41.46704,0.13946,33.768,0.97,-0.015,0.08505,2.291,10.956680055958884,1.434,Basic Materials,0.4615203552379817
GRMN,26.429718,0.19655001,2.342,1.77,0.117,0.22625999,3.316,10.615530465848094,0.999,Technology,0.054217831822031326
IT,16.412436,1.0925701,1016.536,,0.022,0.1371,0.878,10.079001505908721,1.036,Technology,0.15876190513730282
GE,39.216404,0.44692,114.07,0.6,0.176,0.18982,1.041,11.521899674814543,1.384,Industrials,0.25230612054848606
GEHC,17.736658,0.22378,98.717,0.18,0.071,0.10104,1.373,10.565609636127142,1.231,Healthcare,-0.055117355780967325
GEN,24.396908,0.26902,363.379,2.12,0.258,0.12757,0.466,10.164191798573215,1.1,Technology,0.30859022784470863
GNRC,42.767178,0.06283,56.773,,-0.116,0.03791,2.026,10.118962043136134,1.814,Industrials,0.2530135631739648
GD,22.557644,0.17658001,38.205,1.76,0.078,0.08011,1.444,10.973931258709467,0.398,Industrials,-0.28764004284043226
